,query
0,30.04967780248649
1,33.871636404873975
2,31.559554785841062
3,31.554614441194435
4,37.58608849571428
5,33.11942386304639
6,34.10328806499856
7,35.545608803385875
8,36.25087720593631
9,40.01691257296196
10,37.763680314740974
11,44.8539935244713
12,39.99313863635383
13,39.23253469203952
14,39.61834074539677
15,38.27790240191414
16,40.44931183640925
17,34.388501288783104
18,36.95726920202738
19,36.913729536172305
20,36.94131987244067
21,41.71469498673526
22,42.11114651503767
23,40.301963055459375
24,39.65904530795078
25,42.4147205886344
26,45.51962818153651
27,39.462961062833266
28,38.68493609589426
29,37.40429833559957
30,37.01501428596337
31,35.602084808282505
32,35.95833419403973
33,34.82861442852755
34,32.755719413869386
35,31.121792149276647
36,31.58992093797654
37,30.77772148272624
38,34.907300589666775
39,30.59505968583335
40,30.184612495941458
41,31.160094750350183
42,27.73895009434439
43,29.915036510115932
44,29.41687523249712
45,33.08745692959551
46,36.03759218295928
47,35.087045834728045
48,39.241677518999694
49,40.213699883045216
50,41.69726546613047
51,46.577254866424305
52,41.159627773801006
53,42.05440229062277
54,46.230016702457654
55,47.12479121927941
56,42.05440229062277
57,41.45788594607492
58,43.545693151992374
59,44.142209496540204
60,46.52827487473157
61,42.352660462896694
62,45.63350035790981
63,45.036984013361966
64,46.230016702457654
65,45.63350035790981
66,47.12479121927941
67,48.64265845466896
68,40.79231256971566
69,38.67728399193071
70,39.01543730808723
71,42.90200358105454
72,41.21424804823229
73,42.98381660954846
74,46.21486958864716
75,43.895051500919536
76,43.117342860621775
77,40.03942132027709
78,40.45338467592637
79,35.29812139459937
80,34.02108997075847
81,33.216095877210364
82,33.28970675627955
83,27.705662987932733
84,31.323019782397697
85,31.80423433103076
86,24.549578644001954
87,22.2836145177427
88,18.106371689494225
89,24.28581733129054
90,22.147935208832283
91,21.108071650330583
92,21.647525169506125
93,19.443738671415325
94,20.541252500997025
95,16.571359174431453
96,23.224225784632708
97,23.897831795179307
98,26.405272909901147
99,26.336864784035573
100,26.493136591702026
101,30.953386212609942
102,32.86052979988605
103,29.622581566431602
104,28.847797968238797
105,28.318732855814968
106,30.860568720368512
107,32.077062222223475
108,27.789285834445526
109,26.566645144984506
110,35.73341318479253
111,29.79198183540931
112,32.48637795498389
113,30.044523464091615
114,27.568036357523532
115,30.239441619176894
116,25.402882692404006
117,27.85991420184318
118,27.330577192527212
119,26.8884158224846
120,22.952168974307327
121,26.45878446142673
122,20.828550248956514
123,26.128567692123795
124,23.959167780774973
125,23.11644121881152
126,27.115255202941803
127,22.570005792450953
128,22.43173537643607
129,12.271030565725429
130,17.34289938782299
131,12.467726172536917
132,14.15714499452816
133,10.803539533836185
134,11.896478964985985
135,11.063054190687353
136,6.984250402594308
137,9.40230783998794
138,7.24216691947215
139,5.070388928656645
140,2.6843235504652827
141,4.473872584108805
142,8.05297065139585
143,1.4912908613696019
144,2.0878072059174424
145,3.3270725686554936
146,10.044136051075904
147,6.917113324550952
148,9.513258221548277
149,14.019323785610919
150,18.46403095848158
151,13.505612955412195
152,16.44645549301429
153,19.922778208689426
154,16.92813096023722
155,15.683580411447409
156,20.80290651829917
157,21.0286893476064
158,18.742363179723892
159,19.52957622803256
160,19.37993762660139
161,23.81425130241098
162,24.364622220850382
163,23.663408403673593
164,20.84737930618082
165,19.607939317095372
166,21.008941428305405
167,20.166285551335047
168,19.027530014294854
169,20.664806432771506
170,18.512708233767395
171,18.734570399243268
172,23.539760923454487
173,20.78275680664368
174,25.766804336826457
175,21.041425845244557
176,24.736527304067696
177,24.361678952229052
178,20.639523336904723
179,21.21155218717376
180,18.523716098577317
181,13.940298913592947
182,19.49770700667096
183,14.937412944089848
184,16.011136442275617
185,13.958965114721304
186,11.636987018361467
187,11.927402364537423
188,8.229209033728635
189,14.302532554540106
190,9.982645979964628
191,13.63255060040458
192,10.8196521100373
193,11.535901528105981
194,13.173784406432631
195,14.519926003818629
196,18.43669954622426
197,23.531161684262166
198,26.281403118662336
199,28.54094333298646
200,31.321372475622134
201,31.8431456833459
202,30.110245145748365
203,30.987848688847215
204,35.82074062243781
205,39.407934296492634
206,33.83552942233124
207,37.07431054589841
208,35.100364659130705
209,37.67397653101639
210,38.99457746722107
211,39.21413649187116
212,39.11099683705956
213,38.037210404140424
214,40.20056975414988
215,40.941761828291455
216,41.623094603387955
217,39.44804574362319
218,34.573966116356665
219,39.31801157010266
220,37.2711498511372
221,36.981780944103846
222,41.25510909587709
223,42.41926849701997
224,42.95269217314547
225,47.77498079737271
226,41.01557864798524
227,41.20390327868123
228,38.92261816334789
229,35.251965186242025
230,39.936856510897286
231,33.46308912565205
232,34.72633246299398
233,36.888949863651014
234,28.560609521209887
235,32.89481351472167
236,32.16806537995468
237,29.263215290866096
238,32.194857914414655
239,30.26699284599608
240,29.562531351036494
241,31.74261972536114
242,29.533035060853134
243,26.3637945414122
244,32.15365260790138
245,28.091302001487527
246,34.93401263189347
247,35.182627432425576
248,33.666658761571775
249,41.48632578960624
250,42.9518839962789
251,41.54858646951068
252,47.12479121927941
253,46.230016702457654
254,46.52827487473157
255,41.159627773801006
256,43.843951324266285
257,44.142209496540204
258,43.24743497971844
259,45.33524218563589
260,47.12479121927941
261,45.63350035790981
262,44.44046766881413
263,44.142209496540204
264,42.352660462896694
265,44.44046766881413
266,42.650918635170605
267,41.45061909459144
268,41.96497136662848
269,41.356535550338045
270,44.98871524973477
271,49.1810078765808
272,41.825698292668214
273,42.09459499938169
274,42.92279494225265
275,41.17826221225442
276,43.95788891527671
277,38.77381780881127
278,38.877688798872455
279,35.50818966412838
280,33.340346493432094
281,27.7729456274104
282,32.332810664534186
283,26.163900616675864
284,30.3859033235526
285,26.694640524638658
286,27.49131351715807
287,22.238173594140502
288,25.811043253894027
289,23.93618550657231
290,22.69772145052608
291,16.897726641555508
292,18.649173714966377
293,17.662164387557848
294,16.39861517687403
295,19.90733966233289
296,24.487988001910033
297,20.097705061329545
298,27.075716008893025
299,33.85538402208467
300,25.046387056619224
301,29.487312253333666
302,29.58769872746633
303,29.320310143291252
304,31.821071936920738
305,34.57399917006578
306,25.78768085971265
307,34.16949390193667
308,29.58875045723184
309,26.57734166979663
310,29.773874406016475
311,30.681813536549832
312,29.783029039599842
313,30.607522362213956
314,31.698666461058018
315,26.013271611648413
316,29.23154688969297
317,25.434217774720082
318,24.024341397419917
319,27.773829181535596
320,25.044499430719945
321,25.278413570212777
322,22.03425361935186
323,22.553422936093007
324,25.438311762193383
325,23.978561864832805
326,27.658119823708116
327,20.709263317837884
328,19.068690899480874
329,17.852773394637413
330,67.357954203131
331,66.38257295857463
332,53.3988839398106
333,58.277629322797985
334,63.924830337296285
335,62.713436565787234
336,62.70190014456927
337,43.91585753204216
338,43.93507523844015
339,44.38081603435934
340,5.368647100930565
341,5.9651634454784075
342,4.473872584108805
343,8.64948699594369
344,0.0
345,5.484266773820104
346,6.84878975956756
347,10.29043331087636
348,12.58549163107572
349,12.90456136302347
350,19.71830980190607
351,18.320188733839395
352,17.367009327406613
353,19.042309449456184
354,19.920260606259095
